opcode	handler	handler_symbol	confidence	schema	static_paths	name	variable_operands	uses	resources	first_site
0x01	0x4ddf	bin_handler_load_art	verified	z	z	load_art	-	264	AHAL.BIN,BHAL.BIN,BOSS.BIN,CHAL.BIN,COMBAT1.BIN,COMBAT2.BIN,COMBAT3.BIN,COMBAT4.BIN,COMBAT5.BIN,COMBAT6.BIN,COMBAT7.BIN,CP1.BIN,CP2.BIN,CP3.BIN,CULT.BIN,CW1.BIN,CW2.BIN,CW3.BIN,CW4.BIN,CW5.BIN,CW6.BIN,DENY.BIN,DHAL.BIN,DOME.BIN,EHAL.BIN,FACE.BIN,FEAR.BIN,FHAL.BIN,FIRST.BIN,GANTRY.BIN,GHAL.BIN,GHALB.BIN,GHALPL.BIN,GHALPR.BIN,GHALS.BIN,HOLE.BIN,HOLE1.BIN,INTRO.BIN,JELO.BIN,KABLAM.BIN,LAW.BIN,LOGO.BIN,MENU.BIN,NAGE.BIN,OUTA.BIN,OUTB.BIN,OUTC.BIN,OUTD.BIN,OUTE.BIN,OUTF.BIN,OUTGL.BIN,OUTGR.BIN,OVER.BIN,POWER.BIN,RICH.BIN,ROBOT.BIN,ROOM1.BIN,ROOM2.BIN,ROOM3.BIN,ROOM4.BIN,TITLE.BIN,WIN.BIN	LOGO.BIN@0x0008
0x02	0x4bbf	bin_handler_create_scene_thread	verified	BHHH	BHHH	create_scene_thread	-	303	AHAL.BIN,BHAL.BIN,BOSS.BIN,CHAL.BIN,COMBAT1.BIN,COMBAT2.BIN,COMBAT3.BIN,COMBAT4.BIN,COMBAT5.BIN,COMBAT6.BIN,COMBAT7.BIN,CP1.BIN,CP2.BIN,CP3.BIN,CULT.BIN,CW1.BIN,CW2.BIN,CW3.BIN,CW4.BIN,CW5.BIN,CW6.BIN,DENY.BIN,DHAL.BIN,DOME.BIN,EHAL.BIN,FACE.BIN,FEAR.BIN,FHAL.BIN,FIRST.BIN,GANTRY.BIN,GHAL.BIN,GHALB.BIN,GHALPL.BIN,GHALPR.BIN,GHALS.BIN,HOLE.BIN,HOLE1.BIN,INTRO.BIN,JELO.BIN,KABLAM.BIN,LAW.BIN,LOGO.BIN,MENU.BIN,NAGE.BIN,OUTA.BIN,OUTB.BIN,OUTC.BIN,OUTD.BIN,OUTE.BIN,OUTF.BIN,OUTGL.BIN,OUTGR.BIN,OVER.BIN,POWER.BIN,RICH.BIN,ROBOT.BIN,ROOM1.BIN,ROOM2.BIN,ROOM3.BIN,ROOM4.BIN,TITLE.BIN,WIN.BIN	LOGO.BIN@0x010a
0x03	0x4a5c	bin_handler_add_native_scale_display_object	verified	BBHHB	BBHHB	add_native_scale_display_object	-	0	-	-
0x04	0x4ad5	bin_handler_add_scaled_display_object	verified	BBHHHB	BBHHHB	add_scaled_display_object	-	219	BOSS.BIN,COMBAT6.BIN,CP1.BIN,CP3.BIN,CULT.BIN,CW1.BIN,CW2.BIN,CW3.BIN,CW4.BIN,CW5.BIN,CW6.BIN,DENY.BIN,DOME.BIN,FEAR.BIN,FIRST.BIN,GANTRY.BIN,GHAL.BIN,GHALPL.BIN,GHALPR.BIN,GHALS.BIN,HOLE.BIN,HOLE1.BIN,INTRO.BIN,JELO.BIN,LAW.BIN,NAGE.BIN,OUTA.BIN,OUTB.BIN,OUTC.BIN,OUTD.BIN,OUTE.BIN,OUTF.BIN,OVER.BIN,RICH.BIN,ROBOT.BIN,ROOM1.BIN,ROOM2.BIN,ROOM3.BIN,ROOM4.BIN	INTRO.BIN@0x0012
0x05	0x476d	bin_handler_return_minus_one	high	-	-	return_minus_one	-	291	AHAL.BIN,BHAL.BIN,BOSS.BIN,CHAL.BIN,COMBAT1.BIN,COMBAT2.BIN,COMBAT3.BIN,COMBAT4.BIN,COMBAT5.BIN,COMBAT6.BIN,COMBAT7.BIN,CP1.BIN,CP2.BIN,CP3.BIN,CULT.BIN,CW1.BIN,CW2.BIN,CW3.BIN,CW4.BIN,CW5.BIN,CW6.BIN,DENY.BIN,DHAL.BIN,DOME.BIN,EHAL.BIN,FACE.BIN,FEAR.BIN,FHAL.BIN,FIRST.BIN,GANTRY.BIN,GHAL.BIN,GHALB.BIN,GHALPL.BIN,GHALPR.BIN,GHALS.BIN,HOLE.BIN,HOLE1.BIN,INTRO.BIN,JELO.BIN,KABLAM.BIN,LAW.BIN,LOGO.BIN,MENU.BIN,NAGE.BIN,OUTA.BIN,OUTB.BIN,OUTC.BIN,OUTD.BIN,OUTE.BIN,OUTF.BIN,OUTGL.BIN,OUTGR.BIN,OVER.BIN,POWER.BIN,RICH.BIN,ROBOT.BIN,ROOM1.BIN,ROOM2.BIN,ROOM3.BIN,ROOM4.BIN,TITLE.BIN,WIN.BIN	LOGO.BIN@0x018b
0x06	0x4b5e	bin_handler_begin_animation_sequence	verified	H	H	begin_animation_sequence	-	843	AHAL.BIN,BHAL.BIN,BOSS.BIN,CHAL.BIN,COMBAT1.BIN,COMBAT2.BIN,COMBAT3.BIN,COMBAT4.BIN,COMBAT5.BIN,COMBAT6.BIN,COMBAT7.BIN,CP1.BIN,CP2.BIN,CP3.BIN,CULT.BIN,CW1.BIN,CW2.BIN,CW3.BIN,CW4.BIN,CW5.BIN,CW6.BIN,DENY.BIN,DHAL.BIN,DOME.BIN,EHAL.BIN,FACE.BIN,FEAR.BIN,FHAL.BIN,FIRST.BIN,GANTRY.BIN,GHAL.BIN,GHALB.BIN,GHALPL.BIN,GHALPR.BIN,GHALS.BIN,HOLE.BIN,HOLE1.BIN,JELO.BIN,KABLAM.BIN,LAW.BIN,LOGO.BIN,MENU.BIN,NAGE.BIN,OUTE.BIN,OUTGL.BIN,OUTGR.BIN,OVER.BIN,POWER.BIN,RICH.BIN,ROBOT.BIN,ROOM1.BIN,ROOM3.BIN,ROOM4.BIN,TITLE.BIN,WIN.BIN	LOGO.BIN@0x000e
0x07	0x4b56	bin_handler_animation_step	verified	9	9	animation_step	-	8727	AHAL.BIN,BHAL.BIN,BOSS.BIN,CHAL.BIN,COMBAT1.BIN,COMBAT2.BIN,COMBAT3.BIN,COMBAT4.BIN,COMBAT5.BIN,COMBAT6.BIN,COMBAT7.BIN,CP1.BIN,CP2.BIN,CP3.BIN,CULT.BIN,CW1.BIN,CW2.BIN,CW3.BIN,CW4.BIN,CW5.BIN,CW6.BIN,DENY.BIN,DHAL.BIN,DOME.BIN,EHAL.BIN,FACE.BIN,FEAR.BIN,FHAL.BIN,FIRST.BIN,GANTRY.BIN,GHAL.BIN,GHALB.BIN,GHALPL.BIN,GHALPR.BIN,GHALS.BIN,HOLE.BIN,HOLE1.BIN,JELO.BIN,KABLAM.BIN,LAW.BIN,LOGO.BIN,MENU.BIN,NAGE.BIN,OUTE.BIN,OUTGL.BIN,OUTGR.BIN,OVER.BIN,POWER.BIN,RICH.BIN,ROBOT.BIN,ROOM1.BIN,ROOM3.BIN,ROOM4.BIN,TITLE.BIN,WIN.BIN	LOGO.BIN@0x0011
0x08	0x4e27	bin_handler_start_animation	verified	BB	BB	start_animation	-	1217	AHAL.BIN,BHAL.BIN,BOSS.BIN,CHAL.BIN,COMBAT1.BIN,COMBAT2.BIN,COMBAT3.BIN,COMBAT4.BIN,COMBAT5.BIN,COMBAT6.BIN,COMBAT7.BIN,CP1.BIN,CP2.BIN,CP3.BIN,CULT.BIN,CW1.BIN,CW2.BIN,CW3.BIN,CW4.BIN,CW5.BIN,CW6.BIN,DENY.BIN,DHAL.BIN,DOME.BIN,EHAL.BIN,FACE.BIN,FEAR.BIN,FHAL.BIN,FIRST.BIN,GANTRY.BIN,GHAL.BIN,GHALB.BIN,GHALPL.BIN,GHALPR.BIN,GHALS.BIN,HOLE.BIN,HOLE1.BIN,JELO.BIN,KABLAM.BIN,LAW.BIN,LOGO.BIN,MENU.BIN,NAGE.BIN,OUTE.BIN,OUTGL.BIN,OUTGR.BIN,OVER.BIN,POWER.BIN,RICH.BIN,ROBOT.BIN,ROOM1.BIN,ROOM3.BIN,ROOM4.BIN,TITLE.BIN,WIN.BIN	LOGO.BIN@0x0159
0x09	0x4e64	bin_handler_stop_animation	verified	B	B	stop_animation	-	890	AHAL.BIN,BHAL.BIN,BOSS.BIN,CHAL.BIN,COMBAT1.BIN,COMBAT2.BIN,COMBAT3.BIN,COMBAT4.BIN,COMBAT5.BIN,COMBAT6.BIN,COMBAT7.BIN,CP1.BIN,CP2.BIN,CP3.BIN,CULT.BIN,CW1.BIN,CW2.BIN,CW3.BIN,CW4.BIN,CW5.BIN,CW6.BIN,DENY.BIN,DHAL.BIN,DOME.BIN,EHAL.BIN,FACE.BIN,FEAR.BIN,FHAL.BIN,GHAL.BIN,GHALB.BIN,GHALPL.BIN,GHALPR.BIN,GHALS.BIN,HOLE.BIN,JELO.BIN,KABLAM.BIN,LAW.BIN,LOGO.BIN,MENU.BIN,NAGE.BIN,OUTE.BIN,OUTGL.BIN,OUTGR.BIN,POWER.BIN,RICH.BIN,ROOM1.BIN,ROOM3.BIN,ROOM4.BIN,WIN.BIN	LOGO.BIN@0x01f1
0x0a	0x50a2	bin_handler_wait_for_scene_thread_movement	verified	-	-	wait_for_scene_thread_movement	-	142	AHAL.BIN,BHAL.BIN,CHAL.BIN,DHAL.BIN,EHAL.BIN,FHAL.BIN,GHAL.BIN,GHALB.BIN,GHALPL.BIN,GHALPR.BIN,GHALS.BIN,HOLE.BIN,HOLE1.BIN,LOGO.BIN,NAGE.BIN,OUTE.BIN,OUTGL.BIN,OUTGR.BIN	LOGO.BIN@0x01b7
